NAME,H1r_4861A,H1r_6563A,O3_4363A,O3_5007A,S2_6716A,S2_6731A,O2_3726A,H1r_4861Ae,H1r_6563Ae,O3_4363Ae,O3_5007Ae,S2_6716Ae,S2_6731Ae,O2_3726Ae
UGC4423-1,367.7498970560762,1147.8335990929988,7.074220942241293,1303.1510363854863,105.39727593419632,90.4037546550377,779.0111890431965,0.5648818810481263,0.5441262073694657,0.5879299381612241,13.17003057960834,0.32589113756325355,0.4932018751628666,6.945550036397103
UGC5695-16,11.226749943861662,32.271501120633914,3.0934180303957053,11.73881683573621,9.973750024556852,7.428694114647385,35.526688472101185,0.28184866802299635,0.16414228438538478,0.657568407802667,0.3088311087038497,0.17885744353232205,0.18545455158198615,1.0613201122619649
UGC8255-2,54.892242301958476,171.51786494415342,2.1540014956951032,51.3532251544973,28.3795654878022,23.672222880297014,90.83165547628045,0.2797244652619917,0.24891948601117936,0.501669549891789,0.7015569560207069,0.17751742460059602,0.2484092048766508,1.5388632088866159
UGC8255-11,21.85614257379923,62.82943857460105,1.1858841549697303,55.79813038579385,7.114394372699066,7.015529585462577,55.202445337348244,0.2210719000544506,0.2072013781908967,0.3557412408018285,0.8447722173150102,0.29278061796601057,0.20448319925695585,1.1702286183212434
UGC8255-17,12.629350291534644,37.612777578301184,1.724848001193615,19.272666557323287,7.458498004670049,5.210653244088767,32.086435160042264,0.26466805283980266,0.2068585943172619,0.4637276522622538,0.41147647279916905,0.1874560888265064,0.20485742363427692,1.057240881830391
UGC9663-1,244.60293479464264,777.9312569957788,5.9371060140126986,971.0265143727099,48.11432817467083,42.526603007657954,263.55682241394413,0.4217733209895073,0.3872092233255022,0.5769077351350639,9.030713351816532,0.2057270532315922,0.3328106689863453,3.935657282055772
VIIZw466a_b-4,3.7173086737145296,13.191786458236836,0.6052865808746035,2.3937597061988467,1.7177076144700771,2.4555242220643185,9.834795545485346,0.13372385161988534,0.1552098079510816,0.17734111100687264,0.1421849977327513,0.21910322334469104,0.2372180112157245,0.3664443621197171
VIIZw466a-1,100.71935087981863,312.5506868652201,3.1401544943834736,96.9480919581249,50.425193118781564,47.03282940657317,252.2783642117301,0.32137040896104285,0.4975918911752615,0.4259593845477474,1.25355042379698,0.28293993657604555,0.3646588359809207,0.8862706903187675
VIIZw466a-3,62.18233430927844,200.3837282310097,1.9517163222473402,65.13662892400345,34.15288302438083,31.0036114603009,201.67969216974075,0.27023953881926743,0.4347314825037226,0.4027800568212029,0.9163960375657996,0.3188845336965773,0.27562156075586264,1.1028838540050283
VIIZw466a-4,40.56862760421608,131.36982206861228,1.5676240847865972,28.35792775053444,25.414649856347896,22.91997139444408,97.3609019341471,0.2287357379698528,0.3373781430074168,0.3275464507575903,0.4282002507464373,0.2516326835851164,0.2873509756185987,0.827281816496751
VIIZw466a-5,37.45977161187388,118.26918720307596,2.05402347194269,44.50010271250545,21.84285143918408,18.90975476012904,120.79008103922445,0.2407172464299025,0.347530765523048,0.41806575310768107,0.6982437236436655,0.2434923156651219,0.2472703648802425,0.9621728478722208
VIIZw466a-6,33.92224683904029,101.43643517749163,1.440261943270604,24.04323332006595,18.72654746899432,14.655848142344615,79.28203741189641,0.21235423208503765,0.2839410481128661,0.4000087097139308,0.3883924679956313,0.2415959031239903,0.2307530563402945,0.8727962545515637
VIIZw466a-8,26.942188175014763,82.97030521506346,1.0633063936146343,18.96758382141914,16.93897973974558,14.802337960780985,84.0549961378691,0.19932911916345744,0.22839555906298106,0.2894977204617513,0.42291372188586296,0.19178423856798446,0.20498697040562008,0.8134527001970869
VIIZw700-4,1.7758231596260896,7.572816007246177,0.9946271737102206,0.6666995361104786,2.2652397697360582,1.9774733561071824,7.262785345818486,0.2537965376041629,0.12092836679030435,0.3308250052371601,0.21190250634193636,0.15728091138523628,0.18352511034977576,0.6804599492484564
sn2001bf-2,131.65202667834993,671.7056485798538,7.012130587895104,54.906962353373395,142.76363984281596,128.94421491074579,193.58038548078412,0.63256665457701,0.5636899997110411,1.4126404709858902,1.1260882968409842,1.178070441323369,1.1530920892022618,5.1085539138277065
sn2001bf-3,110.37297672158014,613.1224445056966,6.6602420783203256,66.71663322757915,150.8760626943913,141.56516331646284,185.6447602885817,0.8763540848562948,0.6969555906645082,1.819108906481228,1.391330951357301,1.7018880877169444,1.5887651486093697,7.515684425298829
sn2001bf-6,90.15846468531309,360.37747560060524,4.723655326894249,42.987239627454436,73.01794709088118,58.90034557092893,131.2439767359806,0.7547676258373279,0.4243294815705921,0.8033192428659323,0.9168825912797754,0.6693320344991784,0.5379458027744954,3.2989380887857926
